,cumulative_p_delay
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,0.9999999999999998
82,0.9997575169738117
83,0.9997575169738117
84,0.9997575169738117
85,0.9997575169738117
86,0.9997575169738117
87,0.9997575169738117
88,0.9997575169738117
89,0.9997575169738117
90,0.9997575169738117
91,0.9997575169738117
92,0.9997575169738117
93,0.9997575169738117
94,0.9997575169738117
95,0.9997575169738117
96,0.9997575169738117
97,0.9997575169738117
98,0.9997575169738117
99,0.9997575169738117
100,0.9997575169738117
101,0.9995150339476235
102,0.9995150339476235
103,0.9990300678952472
104,0.9990300678952472
105,0.9990300678952472
106,0.9990300678952472
107,0.9990300678952472
108,0.9975751697381182
109,0.9970902036857419
110,0.9963627546071774
111,0.995877788554801
112,0.9956353055286129
113,0.9941804073714839
114,0.9934529582929195
115,0.9929679922405431
116,0.992725509214355
117,0.9917555771096023
118,0.9917555771096023
119,0.9912706110572259
120,0.9907856450048496
121,0.9888457807953442
122,0.9852085354025217
123,0.9822987390882637
124,0.9786614936954412
125,0.9745392822502423
126,0.9679922405431618
127,0.9582929194956351
128,0.9488360814742967
129,0.9369544131910765
130,0.9163433559650823
131,0.8971871968962172
132,0.870756547041707
133,0.8419010669253152
134,0.8033462657613967
135,0.7584869059165859
136,0.7073229873908826
137,0.6442774005819593
138,0.5652279340446169
139,0.4881183317167798
140,0.4129485935984481
141,0.3334141610087294
142,0.24757516973811833
143,0.17604267701260912
144,0.10620756547041707
145,0.04849660523763336
146,0.006547041707080504
